ds,yhat,yhat_lower,yhat_upper
2019-07-01,11480.007111228724,9207.000016533415,13703.237091839384
2019-07-02,12462.872009655845,10245.359413226026,14766.316172361026
2019-07-03,12429.60077552707,10030.988669634718,14868.878016095865
2019-07-04,12268.987475766311,10040.14335918393,14409.116916189287
2019-07-05,12215.897641632027,10026.155503272501,14561.195703318997
2019-07-06,8666.60470124098,6169.542603923003,10962.976004112255
2019-07-07,7222.372315499052,5057.638375740312,9458.62945950271
2019-07-08,11139.20442797248,8912.752036850385,13594.208284369151
2019-07-09,12176.803594992893,9917.75832642596,14491.591693309403
2019-07-10,12202.38300093141,9796.352546009217,14645.70050630429
2019-07-11,12103.58210040176,9831.730612197523,14445.313255610643
2019-07-12,12114.046395480504,9652.391520953179,14420.68980097152
2019-07-13,8628.789929146646,6273.59512954584,10929.6260465112
2019-07-14,7247.804253542768,4947.555494041641,9573.22394440352
2019-07-15,11225.835102344286,8915.41164857571,13593.299970964443
2019-07-16,12321.366764340502,10051.096871243786,14662.694024996594
2019-07-17,12400.459017748275,10077.098841075362,14786.297209476283
2019-07-18,12349.686057207731,10029.646851343352,14667.98301760257
2019-07-19,12401.737456802315,10023.819023578542,14497.10999714504
2019-07-20,8950.799340151942,6654.83243812514,11211.196011383792
2019-07-21,7596.179167320961,5441.995689696951,9966.281213920352
2019-07-22,11592.095086684632,9527.189382431814,14081.210422678138
2019-07-23,12696.66963886967,10463.206843748772,15128.5112039657
2019-07-24,12775.772536482444,10465.019511802328,15282.059538589374
2019-07-25,12715.961890328044,10381.178013486904,15084.826640842977
2019-07-26,12750.083938311656,10456.482877163344,15172.68978477978
2019-07-27,9272.649532267991,6707.002363751721,11630.632690553857
2019-07-28,7883.450944799624,5454.6307214394765,10267.711039974367
2019-07-29,11837.340159094527,9529.371303423006,14077.400293815273
2019-07-30,12893.208700896017,10574.739588683477,15154.207568645688
2019-07-31,12917.814057567277,10488.472004596111,15349.959331629176
2019-08-01,12798.702418899014,10537.81775693312,15142.76069703589
2019-08-02,12769.788192878468,10224.671147898345,15122.430382257759
2019-08-03,9226.708974396013,7055.397638324841,11728.60734966579
2019-08-04,7770.41996755748,5510.48335457955,10168.415143148715
2019-08-05,11656.949471320047,9546.9675878033,14038.08585023049
2019-08-06,12646.35593281404,10376.869103886955,15045.433508892642
2019-08-07,12606.532049901543,10239.890702266808,14845.602080041024
2019-08-08,12426.106076782009,10080.542290463469,14905.925394874894
2019-08-09,12340.001181287456,9989.782178253936,14601.506529610058
2019-08-10,8744.771896393986,6527.1910127341735,10901.035490040767
2019-08-11,7242.181995156558,4768.652138429865,9718.60727435908
2019-08-12,11088.945685659406,8768.759101656779,13440.7912761401
2019-08-13,12045.672872159661,9789.067160232424,14511.634789047612
2019-08-14,11980.664157351943,9654.035481852185,14230.778555961966
2019-08-15,11782.805881543143,9371.877691940976,14030.002205663513
2019-08-16,11687.12613761615,9440.79532861841,13992.687946818103
2019-08-17,8090.1308410753245,5891.240102665226,10557.419407518924
2019-08-18,6593.384168600658,4282.564624021418,8938.667256967354
2019-08-19,10453.255193850555,8040.71131311744,12701.49616569829
2019-08-20,11429.87134903374,9020.672406555952,13927.432723229012
2019-08-21,11390.924221216252,9192.596739780885,13936.99346366422
2019-08-22,11224.577769143963,8921.897473085904,13696.667551609697
2019-08-23,11165.039647714351,8686.143619711853,13594.128388622612
2019-08-24,7607.914431323037,5297.738366964591,10015.997063854244
2019-08-25,6153.802728733289,3645.6813056732653,8495.236238081092
2019-08-26,10058.067670828448,7742.221798006587,12373.368545933861
2019-08-27,11079.809030416836,8851.498619186448,13297.881114765692
2019-08-28,11085.690098323317,8956.62023844178,13437.123915334718
2019-08-29,10962.867007003872,8752.786725502383,13213.979424445157
2019-08-30,10944.580791330116,8671.887083600672,13348.058675659879
2019-08-31,7425.530583347662,5050.381357154604,9733.973785249213
2019-09-01,6005.491547867866,3485.5572463622675,8387.106095574687
2019-09-02,9939.098679810144,7606.320065840122,12198.863422257371
2019-09-03,10984.836362503002,8641.642539447854,13462.583350463785
2019-09-04,11008.878510821713,8610.508026993952,13173.51301164126
2019-09-05,10898.028702606698,8682.019357242445,13230.492332700975
2019-09-06,10885.320350634818,8570.99045302821,13176.762907065124
2019-09-07,7365.395119187169,4992.803489009303,9622.387693190647
2019-09-08,5938.123051848428,3438.9207161145937,8347.081473554106
2019-09-09,9858.38543713814,7719.125430060137,12145.905571277137
2019-09-10,10885.060297174556,8584.182279047336,13307.099207103629
2019-09-11,10884.85533960688,8587.745410591417,13338.965282686775
2019-09-12,10745.237876280975,8434.194545199533,13102.484071047005
2019-09-13,10700.021913547982,8342.268237675717,13349.511582096002
2019-09-14,7144.730832699826,4828.986317232978,9564.131117837669
2019-09-15,5680.199399704891,3409.864874845193,8143.1215080472975
2019-09-16,9562.336458176977,7094.3155372148585,11933.857446506132
2019-09-17,10551.08856780173,7980.0378434154145,12822.326043736743
2019-09-18,10514.249849608852,8035.595086620946,13021.598447187986
2019-09-19,10340.367999587032,7979.5463075463185,12747.9029988427
2019-09-20,10264.30716214152,7786.799983917086,12485.235299095386
2019-09-21,6682.586588299964,4350.049992255961,8938.767198080512
2019-09-22,5196.959333757933,2813.7104963768234,7506.118384473993
2019-09-23,9064.152866014065,6742.319401727127,11309.142161162043
2019-09-24,10044.812345962073,7799.831651732793,12542.384297249531
2019-09-25,10007.29232583226,7914.698471435441,12145.354000894182
2019-09-26,9840.547271053952,7530.268520819772,12028.257904565937
2019-09-27,9779.681998749384,7417.243277364697,12280.972295958176
2019-09-28,6221.2813036001635,3886.6864690950915,8670.626110232259
2019-09-29,4766.983307320414,2306.865565866806,7034.921296764383
2019-09-30,8673.218608636349,6219.048446049821,11111.24650788413
2019-10-01,9700.156127063336,7261.638966575852,12035.019180955534
2019-10-02,9715.501423943739,7251.085222624092,12210.111911222402
2019-10-03,9607.397860679626,7248.185810627998,11824.52370886216
2019-10-04,9609.991547755653,7293.695576110672,12055.392503228968
2019-10-05,6118.779124920702,3823.2370643955687,8425.504756517568
2019-10-06,4734.202589587645,2485.2727277835606,7025.51945842944
2019-10-07,8711.412846689573,6395.965075607032,10915.08978016611
2019-10-08,9809.242392064572,7564.637538332097,11948.680632528823
2019-10-09,9894.032362189253,7614.03875115726,12223.19940851482
2019-10-10,9852.563701513136,7487.401736476356,12260.704398969563
2019-10-11,9917.652745901083,7571.461899410106,12342.61961479862
2019-10-12,6483.529575459599,4198.669914113093,8903.966835575166
2019-10-13,5149.462649566071,2917.975101129023,7618.735233706829
2019-10-14,9169.550692165441,6864.311644638906,11496.136899276029
2019-10-15,10301.721549475507,7890.14287300145,12584.750303057865
2019-10-16,10411.582595710752,8008.757849634564,12711.508197407364
2019-10-17,10385.371829052874,7945.071262957767,12733.421268583807
2019-10-18,10455.569412286217,8278.980298516983,12793.675217656828
2019-10-19,7016.287546325504,4829.177709162302,9660.286321649683
2019-10-20,5666.901816963535,3433.0162417486436,7873.122964865715
2019-10-21,9661.844714299992,7201.650516595938,11964.483923191734
2019-10-22,10759.600891627946,8415.44285938287,13188.244044223544
2019-10-23,10826.548703511666,8720.785077557028,13228.695599028344
2019-10-24,10749.897253704352,8188.774847426526,13069.210386471694
2019-10-25,10763.278920213852,8494.457261980251,13021.000853699743
2019-10-26,7262.115581823722,4945.5319674495295,9516.946035898696
2019-10-27,5847.22214043322,3517.7802051747567,8474.698280617282
2019-10-28,9774.56860250659,7265.530612591609,12175.188234550002
2019-10-29,10804.240949615512,8266.910432557132,13144.11856807758
2019-10-30,10804.246085924267,8488.439065540633,12940.723420188306
2019-10-31,10663.410911442894,8461.38850897434,12982.363441368674
2019-11-01,10616.936357127299,8226.128410357316,12849.228934314402
2019-11-02,7061.725503242271,4755.7325255086835,9376.936213820878
2019-11-03,5599.950303718191,3219.907739773897,8014.332752921562
2019-11-04,9488.779043854523,7237.067441341576,11837.611507646525
2019-11-05,10489.305662398068,8159.623026262597,12780.785592531016
2019-11-06,10470.327018821288,8222.542934107882,12778.481613968053
2019-11-07,10321.218892549328,7927.516350242373,12620.649073468701
2019-11-08,10277.472189407086,8008.17154436667,12526.868535328167
2019-11-09,6736.009006357179,4414.34181018471,8997.322181389232
2019-11-10,5298.7434579196015,2982.478302949539,7566.61091015159
2019-11-11,9222.309685079883,6913.143733565551,11500.570357171107
2019-11-12,10266.99825145313,7915.420193708575,12508.730982761836
2019-11-13,10300.54697995207,8020.744527063338,12678.825920962006
2019-11-14,10211.036811266014,7859.51827573598,12515.320389037492
2019-11-15,10232.453803684763,7829.114812798797,12477.278066894434
2019-11-16,6760.036420975631,4411.197656190042,8939.171703938864
2019-11-17,5393.872368993504,3192.543934550653,7832.464419454048
2019-11-18,9388.66663347351,7085.175432096763,11872.7384216797
2019-11-19,10502.72104693268,8099.755949295084,12770.380073357062
2019-11-20,10601.770471592436,8307.236191155207,12877.76436702759
2019-11-21,10571.925146258702,8299.256270706963,12776.819081408048
2019-11-22,10645.279240192784,8389.303236474703,12893.751724929156
2019-11-23,7215.303666654113,4804.655501533508,9452.350894462194
2019-11-24,5880.486331222023,3410.9468217653657,8287.213294634597
2019-11-25,9894.140417375755,7550.042982497212,12235.472445358846
2019-11-26,11013.420048044205,8708.35414471002,13194.268744651792
2019-11-27,11103.18750714923,8794.850770591487,13361.616868298357
2019-11-28,11048.980775087499,8866.880505291589,13417.936908590382
2019-11-29,11082.640756832805,8591.640453978429,13421.280870783085
2019-11-30,7597.715738437413,5242.185949833664,9916.070634709491
2019-12-01,6193.105891673189,4010.435984214045,8484.532079314251
2019-12-02,10122.868246067559,7783.7555837177415,12388.247564778601
2019-12-03,11145.221461932888,9018.845575921205,13386.08021723678
2019-12-04,11126.394763893153,8832.151454465906,13536.451458195266
2019-12-05,10953.570141748021,8510.37881428016,13191.985172824201
2019-12-06,10860.47772147648,8441.231963292998,13077.77941699708
2019-12-07,7242.762525618429,4862.2522382551615,9493.815575841274
