ds,yhat,yhat_lower,yhat_upper
2019-07-01,22156.548268463735,17521.888749207777,26366.57577940088
2019-07-02,24100.573210682407,19656.695234163017,28475.154133055494
2019-07-03,24008.61942136159,19479.63097210028,28935.27569378597
2019-07-04,23626.632821967214,18974.92944525563,28103.804251351987
2019-07-05,22716.17027644164,18219.240551906307,27095.15804237704
2019-07-06,14317.831874274958,9704.300825251748,18985.176477752866
2019-07-07,12651.044095038,7903.492809553232,17428.711115744885
2019-07-08,21363.86584506984,16914.67279470505,25999.145259100365
2019-07-09,23414.762500554625,18653.064096509563,28155.576672944007
2019-07-10,23441.3454105208,18605.72526687498,28063.93923900732
2019-07-11,23187.342169183474,19005.901302028673,27819.721463797585
2019-07-12,22411.874125736398,18053.108559705022,26823.857803383926
2019-07-13,14152.940252259014,9252.600156996505,18348.53214690831
2019-07-14,12627.255393206868,7607.244951757468,17204.791631707903
2019-07-15,21480.113676851786,16728.246804223578,25946.42825702552
2019-07-16,23667.220971081362,18708.511481570305,28365.49851154842
2019-07-17,23823.492570087794,19184.705626599407,28240.023524668115
2019-07-18,23690.08016818868,19011.433589547025,28100.470539362097
2019-07-19,23023.703374880202,18618.304318761373,27694.46799398525
2019-07-20,14860.18374435385,10314.525685153198,19369.48930767721
2019-07-21,13414.328284821466,9157.217156254635,18476.25310223482
2019-07-22,22329.83228247593,17625.768973685175,26724.214081121645
2019-07-23,24561.144507463992,19642.920942259374,29212.396552339294
2019-07-24,24742.290321283657,20147.839006020473,29088.360937018733
2019-07-25,24613.91623492283,20049.846218811883,29456.286114607923
2019-07-26,23932.630835076736,19387.62083236888,28240.735150196193
2019-07-27,15734.539890276908,11119.490517800043,20557.55803181657
2019-07-28,14235.122618988278,9784.951432318461,18912.91591799081
2019-07-29,23079.11914664853,18353.56295144922,27849.07134490082
2019-07-30,25222.37258257526,20740.451450661305,29785.83096355522
2019-07-31,25300.621760236165,20486.573600300188,29783.96391725202
2019-08-01,25056.50886530674,20615.33546809343,29818.15417636072
2019-08-02,24248.877676981134,19390.81611946702,28729.186829886272
2019-08-03,15916.261160204856,11318.328692853393,20376.17436943793
2019-08-04,14276.706412453608,9480.888040043179,18812.268969483255
2019-08-05,22977.60808937925,18324.64197609589,27608.644293156784
2019-08-06,24977.494887945893,20622.032365166848,29413.171944214773
2019-08-07,24914.766307071106,20504.03043655797,29699.63224370283
2019-08-08,24534.645088630597,20054.327447771713,28929.962453947246
2019-08-09,23598.422222241214,19290.88756616993,28047.550319617465
2019-08-10,15146.894363851728,10721.436771460478,19695.508933561738
2019-08-11,13400.142717003399,8859.472821151732,17871.364587962933
2019-08-12,22007.32545658575,17484.60453238663,26476.62190158161
2019-08-13,23928.42912147609,19335.577189955427,28665.426784511445
2019-08-14,23802.976918944743,19412.832876067518,28403.449826888078
2019-08-15,23376.95992554128,18860.047685042082,27871.10507961826
2019-08-16,22412.06849991637,17974.803589242343,26706.25312796027
2019-08-17,13949.124028712868,9361.68107223508,18657.28415044699
