ds,yhat,yhat_lower,yhat_upper
2019-07-01,2386.4318903358544,498.47514849292287,4111.641518993194
2019-07-02,2675.4728925869535,841.9738947727217,4572.619053880733
2019-07-03,2588.0049429992087,813.6623274198577,4451.911120457755
2019-07-04,2332.2843364005917,434.6662609794694,4278.435453064006
2019-07-05,1984.9897876304626,23.883067751330174,3851.9508679060846
2019-07-06,-1223.3735774245824,-3083.0492345448297,802.7663594423915
2019-07-07,-1284.1224672699568,-3221.5324232891776,784.6981331108959
2019-07-08,1689.3775242115585,-268.3748952741028,3770.9755719339328
2019-07-09,2117.020743670043,233.47827274169637,3972.304024845142
2019-07-10,2179.7919721659227,229.87868412904604,4051.58606048062
2019-07-11,2083.5174801672456,389.51127269267846,4042.6824843147137
2019-07-12,1902.2274643838255,139.6952951133206,3928.6787351192165
2019-07-13,-1136.3906171438252,-3056.7386843797985,853.6262401869209
2019-07-14,-1026.5866210269996,-2943.545992819515,1081.408278625137
2019-07-15,2115.2821922955445,59.716320972620174,4051.021696451742
2019-07-16,2706.1191131108467,730.8111384460838,4801.735348994028
2019-07-17,2923.9785747275655,914.2840093167057,4813.67131225468
2019-07-18,2971.877032418698,921.5319425195095,4848.000036123328
2019-07-19,2921.2136831949515,923.5140226878673,4903.933982317415
2019-07-20,-2.720718599833617,-1920.238488616851,1820.9737203590994
2019-07-21,203.7130116162648,-1804.639329376872,2132.8339152114218
2019-07-22,3422.378647985847,1507.1290231364421,5335.493604533996
2019-07-23,4068.7724752532454,2096.5374757906534,5890.950004858637
2019-07-24,4319.946597575926,2212.9374645275257,6165.615362628359
2019-07-25,4378.344453771367,2234.7238970765507,6210.893649775604
2019-07-26,4315.237422667156,2396.025263965799,6253.453219055219
2019-07-27,1356.2402816079502,-682.9392529590608,3353.8172865031274
2019-07-28,1505.7651816749578,-356.45452250268045,3402.278042597332
2019-07-29,4646.885275950295,2699.8059873864004,6441.195870551138
2019-07-30,5196.720595815881,3340.5771685737627,7057.888459130736
2019-07-31,5334.330135013521,3429.958638267121,7289.42495136641
2019-08-01,5264.507506029164,3233.7295954174724,6925.917212649053
2019-08-02,5061.16980189024,3070.7075497501028,7063.431423883166
2019-08-03,1952.8183674686552,51.65017964022987,3916.3089135736745
2019-08-04,1946.9322585232512,-9.904728006415331,3683.2419644137162
2019-08-05,4929.766791644075,2875.604676668363,6868.293665319025
2019-08-06,5321.671172316603,3399.5133903034234,7255.902790261245
2019-08-07,5304.910649602818,3395.6230291913835,7279.434115901169
2019-08-08,5087.392113869046,3066.851857615799,7077.1621624254085
2019-08-09,4745.984351309295,2796.5733702226985,6728.821543890133
2019-08-10,1511.9132321003378,-494.2471187188461,3510.0520264018537
2019-08-11,1395.094138570865,-507.3985688195429,3272.3198155470004
2019-08-12,4283.875483008147,2300.9603282606868,6200.074227704915
2019-08-13,4600.308631931838,2623.25762547514,6612.577494244713
2019-08-14,4527.930864773907,2695.8929007127103,6491.6971084223815
2019-08-15,4275.461281336343,2342.6372773409494,6205.010847448998
2019-08-16,3920.1016627362314,2087.710441638196,5865.110399311685
2019-08-17,692.9231232811997,-1042.5784368497807,2708.4860065483394
2019-08-18,603.2011734719626,-1401.6961112726826,2477.0628223183844
2019-08-19,3538.173099027387,1650.7172362050928,5328.168187145842
2019-08-20,3918.3327644344267,2044.2997423216752,5890.653883352908
2019-08-21,3925.2489973810643,1996.0130846133964,5780.474618153478
2019-08-22,3765.306741927736,1846.3458560416868,5740.036048610679
2019-08-23,3513.0620162781292,1667.974270833745,5389.642377774141
2019-08-24,396.69032230113135,-1477.862409867487,2169.1868055003083
2019-08-25,422.3897400693486,-1520.3439179025154,2195.6167438414154
